"row ID"	"Protein.Group"	"UniProt_Organism"	"Stripped.Sequence (Count)"	"PG.MaxLFQ+1_1_log2"	"PG.MaxLFQ+2_1_log2"	"PG.MaxLFQ+1_3_log2"	"PG.MaxLFQ+2_3_log2"	"PG.MaxLFQ+1_log2"	"PG.MaxLFQ+2_log2"
"Row136"	"O43752"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row137"	"O43765"	"Homo sapiens (Human)"	10	1	1	1	1	1	1
"Row138"	"O43772"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row139"	"O43790;P78386"	"Homo sapiens (Human);Homo sapiens (Human)"	8					1	
"Row140"	"O43809"	"Homo sapiens (Human)"	16	1	1	1	1	1	1
"Row141"	"O43818"	"Homo sapiens (Human)"	14	1	1	1	1	1	1
"Row142"	"O43824"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row143"	"O43847"	"Homo sapiens (Human)"	26	1	1	1	1	1	1
"Row144"	"O43903"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row145"	"O43924"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row146"	"O60216"	"Homo sapiens (Human)"	19	1	1	1	1	1	1
"Row147"	"O60231"	"Homo sapiens (Human)"	19	1	1	1	1	1	1
"Row148"	"O60234;P60983"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row149"	"O60256;Q14558"	"Homo sapiens (Human);Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row150"	"O60271"	"Homo sapiens (Human)"	32	1	1	1	1	1	1
"Row151"	"O60293"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row152"	"O60307"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row153"	"O60318"	"Homo sapiens (Human)"	9	1	1	1	1	1	1
"Row154"	"O60333"	"Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row155"	"O60346"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row156"	"O60361;P22392"	";Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row157"	"O60449"	"Homo sapiens (Human)"	25	1	1	1	1	1	1
"Row158"	"O60488"	"Homo sapiens (Human)"	28	1	1	1	1	1	1
"Row159"	"O60493;Q9UMY4"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row160"	"O60502"	"Homo sapiens (Human)"	23	1	1	1	1	1	1
"Row161"	"O60518"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row162"	"O60551"	"Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row163"	"O60566"	"Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row164"	"O60610"	"Homo sapiens (Human)"	51	1	1	1	1	1	1
"Row165"	"O60664"	"Homo sapiens (Human)"	14	1	1	1	1	1	1
"Row166"	"O60671"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row167"	"O60684;P52294"	"Homo sapiens (Human);Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row168"	"O60725"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row169"	"O60749"	"Homo sapiens (Human)"	13	1	1	1	1	1	1
"Row170"	"O60763"	"Homo sapiens (Human)"	28	1	1	1	1	1	1
"Row171"	"O60825"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row172"	"O60825;Q16877"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row173"	"O60830"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row174"	"O60841"	"Homo sapiens (Human)"	46	1	1	1	1	1	1
"Row175"	"O60870"	"Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row176"	"O60885"	"Homo sapiens (Human)"	13	1	1	1	1	1	1
"Row177"	"O60888"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row178"	"O60927"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row179"	"O60936"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row180"	"O75044"	"Homo sapiens (Human)"	1		1	1	1	1	1
"Row181"	"O75083"	"Homo sapiens (Human)"	26	1	1	1	1	1	1
"Row182"	"O75116"	"Homo sapiens (Human)"	17	1	1	1	1	1	1
